content,sentiment,traffic_class,place,date,time
"Acme junction inward Agidingbi, Cadbury junction, Mobil junction, daily times down to Coca-cola junction is good to go.     ",Positive,free flow,Acme junction,2023-02-09,07:12:43
"Acme junction inward Agidingbi, Cadbury junction, Mobil junction, daily times down to Coca-cola junction is good to go.     ",Positive,free flow,Agidingbi,2023-02-09,07:12:43
"Acme junction inward Agidingbi, Cadbury junction, Mobil junction, daily times down to Coca-cola junction is good to go.     ",Positive,free flow,Cadbury junction,2023-02-09,07:12:43
"Acme junction inward Agidingbi, Cadbury junction, Mobil junction, daily times down to Coca-cola junction is good to go.     ",Positive,free flow,Mobil junction,2023-02-09,07:12:43
"Approaching Lekki conservation centre is busy towards Chevron, Igbo efon and Jakande due to morning rush.",Positive,heavy traffic,Lekki conservation,2023-02-09,07:18:48
"Approaching Lekki conservation centre is busy towards Chevron, Igbo efon and Jakande due to morning rush.",Positive,heavy traffic,Chevron,2023-02-09,07:18:48
Connecting Marwa from Ikate is good Marwa back to Ajah proper is good,Positive,free flow,Marwa,2023-02-09,07:18:49
Connecting Marwa from Ikate is good Marwa back to Ajah proper is good,Positive,free flow,Ikate,2023-02-09,07:18:49
Connecting Marwa from Ikate is good Marwa back to Ajah proper is good,Positive,free flow,Marwa,2023-02-09,07:18:49
Cele inward Cele/ijesha fly over bridge is busy but moving steadily due to construction work at the other side of Cele,Positive,heavy traffic,Cele inward,2023-02-09,07:29:07
Cele inward Cele/ijesha fly over bridge is busy but moving steadily due to construction work at the other side of Cele,Positive,heavy traffic,Cele/ijesha fly over bridge,2023-02-09,07:29:07
Movement from Cele inward Ago roundabout is busy due to alternation at the junction.,Positive,heavy traffic,Cele,2023-02-09,07:29:08
Movement from Cele inward Ago roundabout is busy due to alternation at the junction.,Positive,heavy traffic,Ago roundabout,2023-02-09,07:29:08
Vehicular  movement from Ago roundabout inward Apata enroute Transformer to Ilasa is also busy due to early morning rush.,Positive,heavy traffic,Ago roundabout,2023-02-09,07:29:08
Vehicular  movement from Ago roundabout inward Apata enroute Transformer to Ilasa is also busy due to early morning rush.,Positive,heavy traffic,Apata,2023-02-09,07:29:08
Movement from Ago roundabout inward pako/chemist is good,Positive,free flow,Ago roundabout,2023-02-09,07:29:08
"Vehicular movement from Oke-afa  enroute Pako, Kogberegbe, Ire akari junction, Ishaga, College inward Aye is busy  due to alternation at College/Aye junction  and early morning rush",Positive,heavy traffic,Oke-afa,2023-02-09,07:29:08
"Vehicular movement from Oke-afa  enroute Pako, Kogberegbe, Ire akari junction, Ishaga, College inward Aye is busy  due to alternation at College/Aye junction  and early morning rush",Positive,heavy traffic,Pako,2023-02-09,07:29:08
"Vehicular movement from Oke-afa  enroute Pako, Kogberegbe, Ire akari junction, Ishaga, College inward Aye is busy  due to alternation at College/Aye junction  and early morning rush",Positive,heavy traffic,Kogberegbe,2023-02-09,07:29:08
"Vehicular movement from Oke-afa  enroute Pako, Kogberegbe, Ire akari junction, Ishaga, College inward Aye is busy  due to alternation at College/Aye junction  and early morning rush",Positive,heavy traffic,Ishaga,2023-02-09,07:29:08
"Vehicular movement from Oke-afa  enroute Pako, Kogberegbe, Ire akari junction, Ishaga, College inward Aye is busy  due to alternation at College/Aye junction  and early morning rush",Positive,heavy traffic,College/Aye junction,2023-02-09,07:29:08
"Connecting Aye inward limca, Laspotech, Daleko is good to go",Positive,free flow,Aye,2023-02-09,07:29:09
"Vehicular movement from 5star inward Iyana isolo enroute Ilasa, Cele inward Ijesha is also good on  the main carriage way and the service lane",Positive,free flow,Iyana isolo,2023-02-09,07:29:09
"Vehicular movement from 5star inward Iyana isolo enroute Ilasa, Cele inward Ijesha is also good on  the main carriage way and the service lane",Positive,free flow,Ilasa,2023-02-09,07:29:09
Abule egba inward Charity is free Charity to Abattoir enroute Emmanuel is gtg,Positive,free flow,Abule egba,2023-02-09,07:52:10
Abule egba inward Charity is free Charity to Abattoir enroute Emmanuel is gtg,Positive,free flow,Charity,2023-02-09,07:52:10
Abule egba inward Charity is free Charity to Abattoir enroute Emmanuel is gtg,Positive,free flow,Abattoir,2023-02-09,07:52:10
Oke koto inward Sofunde down to agbotikuyo enroute Alagba  is good,Positive,free flow,Oke koto,2023-02-09,07:52:11
Oke koto inward Sofunde down to agbotikuyo enroute Alagba  is good,Positive,free flow,Sofunde,2023-02-09,07:52:11
return journey frm Alagba inw Oke koto is gd,Positive,free flow,Oke koto,2023-02-09,07:52:11
Sofunde inwd oke koto is slow,Negative,heavy traffic,Sofunde,2023-02-09,07:52:11
Sofunde inwd oke koto is slow,Negative,heavy traffic,oke koto,2023-02-09,07:52:11
Oke koto inward Oniwaya is good to go likewise the return journey back to Oke koto,Positive,free flow,Oke koto,2023-02-09,07:52:11
Oke koto inward Oniwaya is good to go likewise the return journey back to Oke koto,Positive,free flow,Oniwaya,2023-02-09,07:52:11
Oke koto inward Oniwaya is good to go likewise the return journey back to Oke koto,Positive,free flow,Oke koto,2023-02-09,07:52:11
Oke koto to Oba ogunji inward Odo eran is slow,Negative,heavy traffic,Oke koto,2023-02-09,07:52:11
Odo eran inward Marketing is good to go likewise return journey,Positive,free flow,Odo eran,2023-02-09,07:52:12
Marketing inward Stadium to Maternity inward Balogun Pencinema is good to go.,Positive,free flow,Marketing,2023-02-09,07:52:12
Marketing inward Stadium to Maternity inward Balogun Pencinema is good to go.,Positive,free flow,Stadium,2023-02-09,07:52:12
Marketing inward Stadium to Maternity inward Balogun Pencinema is good to go.,Positive,free flow,Maternity,2023-02-09,07:52:12
Marketing inward Stadium to Maternity inward Balogun Pencinema is good to go.,Positive,free flow,Balogun Pencinema,2023-02-09,07:52:12
Odo eran to Wemco inw Metal box is slow,Negative,heavy traffic,Odo eran,2023-02-09,07:52:12
Odo eran to Wemco inw Metal box is slow,Negative,heavy traffic,Wemco,2023-02-09,07:52:12
Marketing inward Akilo to Ascon junction inward Acme down to Fumec is good to go,Positive,free flow,Akilo,2023-02-09,07:52:13
Marketing inward Akilo to Ascon junction inward Acme down to Fumec is good to go,Positive,free flow,Ascon junction,2023-02-09,07:52:13
Return journey from Fumec to Metal box is good to go,Positive,free flow,Fumec,2023-02-09,07:52:13
Wemco junction down to Odo eran  Mobile Asade inw Akani Doherty is slow at the moment.,Negative,heavy traffic,Wemco junction,2023-02-09,07:52:13
Wemco junction down to Odo eran  Mobile Asade inw Akani Doherty is slow at the moment.,Negative,heavy traffic,Mobile Asade,2023-02-09,07:52:13
Wemco junction down to Odo eran  Mobile Asade inw Akani Doherty is slow at the moment.,Negative,heavy traffic,Akani Doherty,2023-02-09,07:52:13
Akani Doherty to Dangote U-turn is steady good likewise the return journey.,Positive,free flow,Akani Doherty,2023-02-09,07:52:13
Guinness junction inward Mangoro Asade is good,Positive,free flow,Guinness junction,2023-02-09,07:52:13
Vehicular movement from Dolphin inward Osbourne road is on the high side while manual control is in progress at foreshore intersection.,Positive,heavy traffic,Dolphin,2023-02-09,07:59:50
"Alfred Rewane stretch is  busy due to alternation at Bayo Kuku, Golden gate and NNPC intersections",Positive,heavy traffic,Alfred Rewane,2023-02-09,07:59:50
"Alfred Rewane stretch is  busy due to alternation at Bayo Kuku, Golden gate and NNPC intersections",Positive,heavy traffic,Bayo Kuku,2023-02-09,07:59:50
Awolowo road  Movement from Okotie Eboh inward Falomo roundabout is busy due to early morning rush.,Positive,heavy traffic,Okotie Eboh,2023-02-09,07:59:51
Awolowo road  Movement from Okotie Eboh inward Falomo roundabout is busy due to early morning rush.,Positive,heavy traffic,Falomo roundabout,2023-02-09,07:59:51
Obalende Ubridge is busy due to early morning rush coupled with commercial activities.  ,Positive,heavy traffic,Obalende Ubridge,2023-02-09,07:59:52
A broken down loaded Tanker on McWen bridge inward Bonny Camp with effect on traffic movement for now. ,Negative,breakdown,McWen bridge,2023-02-09,09:43:16
A broken down loaded Tanker on McWen bridge inward Bonny Camp with effect on traffic movement for now. ,Negative,breakdown,Bonny Camp,2023-02-09,09:43:16
A broken down Truck at Orile on the service lane inward Mile2 with no effect on traffic movement.,Negative,breakdown,Orile,2023-02-09,10:04:03
The earlier reported broken down loaded Tanker on McWen Bridge inw Bonny Camp has been moved off the road. ,Negative,breakdown,McWen Bridge,2023-02-09,10:06:34
The earlier reported broken down loaded Tanker on McWen Bridge inw Bonny Camp has been moved off the road. ,Negative,breakdown,Bonny Camp,2023-02-09,10:06:34
Busy movement from Otedola to Kara,Positive,heavy traffic,Otedola,2023-02-09,12:21:38
Busy movement from Otedola to Kara,Positive,heavy traffic,Kara,2023-02-09,12:21:38
Return journey from Kara back to Otedola is good.,Positive,free flow,Kara,2023-02-09,12:21:38
Return journey from Odoeran back to Omole is good aside alternation. ,Positive,free flow,Odoeran,2023-02-09,12:21:39
Slight delays approaching Hotel b/stop due to fuel queue at NNPC Filling station.,Negative,mild traffic,NNPC Filling station.,2023-02-09,12:21:39
"Ojota bridge inw China Town, Alapere, Ogudu, Ifako, Iyana Oworo all in good shape.",Positive,free flow,Ojota bridge,2023-02-09,14:07:38
"Ojota bridge inw China Town, Alapere, Ogudu, Ifako, Iyana Oworo all in good shape.",Positive,free flow,China Town,2023-02-09,14:07:38
"Ojota bridge inw China Town, Alapere, Ogudu, Ifako, Iyana Oworo all in good shape.",Positive,free flow,Alapere,2023-02-09,14:07:38
"Ojota bridge inw China Town, Alapere, Ogudu, Ifako, Iyana Oworo all in good shape.",Positive,free flow,Ogudu,2023-02-09,14:07:38
"Ojota bridge inw China Town, Alapere, Ogudu, Ifako, Iyana Oworo all in good shape.",Positive,free flow,Ifako,2023-02-09,14:07:38
"It is also good ascending 3MB through Adeniji,  Olowu, Simpson bridge, Obalende bridge inw Onikan bridge down to CMS bridge is good.",Positive,free flow,Adeniji,2023-02-09,14:07:39
"It is also good ascending 3MB through Adeniji,  Olowu, Simpson bridge, Obalende bridge inw Onikan bridge down to CMS bridge is good.",Positive,free flow,Simpson bridge,2023-02-09,14:07:39
"It is also good ascending 3MB through Adeniji,  Olowu, Simpson bridge, Obalende bridge inw Onikan bridge down to CMS bridge is good.",Positive,free flow,Obalende bridge,2023-02-09,14:07:39
The return journey is encouraging but slow approaching Ogudu down to NNPC due to fuel queue,Negative,heavy traffic,Ogudu,2023-02-09,14:07:39
The return journey is encouraging but slow approaching Ogudu down to NNPC due to fuel queue,Negative,heavy traffic,NNPC,2023-02-09,14:07:39
Good movement immediately after Toll gate turning inw Otedola Bridge enroute New Garage.,Positive,free flow,New Garage.,2023-02-09,14:07:40
The stretch of Osolo Way from Aiye to Mechanic village link bridge is good.,Positive,free flow,Osolo Way,2023-02-09,14:46:38
DHL to 5 star enroute Aswani Road by Emzor to connect Osolo Way by Aswani junction is good.,Positive,free flow,DHL,2023-02-09,14:46:40
DHL to 5 star enroute Aswani Road by Emzor to connect Osolo Way by Aswani junction is good.,Positive,free flow,Osolo Way,2023-02-09,14:46:40
DHL to 5 star enroute Aswani Road by Emzor to connect Osolo Way by Aswani junction is good.,Positive,free flow,Aswani junction,2023-02-09,14:46:40
Robinson Gbagi down to Ajibade Babatola is slow down to navigate Canoe proper.,Negative,heavy traffic,Robinson Gbagi,2023-02-09,14:46:41
High influx and busy from PWD inward Airport turning towards Airport bus stop.,Positive,heavy traffic,PWD,2023-02-09,15:35:00
"Meanwhile movement from Airport bus stop inward National, Ikeja Along towards Ajayi Farm is also busy.",Positive,heavy traffic,Airport,2023-02-09,15:35:00
"Meanwhile movement from Airport bus stop inward National, Ikeja Along towards Ajayi Farm is also busy.",Positive,heavy traffic,National,2023-02-09,15:35:00
"Meanwhile movement from Airport bus stop inward National, Ikeja Along towards Ajayi Farm is also busy.",Positive,heavy traffic,Ikeja,2023-02-09,15:35:00
Ajayi Farm inward Ile Zik enroute Mangoro and Cement is good towards Dopemu under bridge.,Positive,free flow,Ajayi Farm,2023-02-09,15:35:00
Ajayi Farm inward Ile Zik enroute Mangoro and Cement is good towards Dopemu under bridge.,Positive,free flow,Ile Zik,2023-02-09,15:35:00
"Good movement from NITEL inward Total for now, return journey from Total to Abattoir is good.",Positive,free flow,NITEL,2023-02-09,15:44:51
Total inward Okekoto is good,Positive,free flow,Total,2023-02-09,15:44:52
The return journey from Okekoto inward Total is also good.,Positive,free flow,Okekoto,2023-02-09,15:44:52
Okekoto inward Shofunde is good likewise the return journey. Okekoto inward and outward Oniwaya is good.,Positive,free flow,Okekoto,2023-02-09,15:44:52
Okekoto inward Shofunde is good likewise the return journey. Okekoto inward and outward Oniwaya is good.,Positive,free flow,Shofunde,2023-02-09,15:44:52
Dopemu inward Oniwaya is good. Capitol Road connecting National Mangoro Ashade is good.,Positive,free flow,Dopemu,2023-02-09,15:44:53
Dopemu inward Oniwaya is good. Capitol Road connecting National Mangoro Ashade is good.,Positive,free flow,Capitol Road,2023-02-09,15:44:53
Akanni Doherthy Road connecting Guinness is good; the return journey is also good.,Positive,free flow,Akanni Doherthy Road,2023-02-09,15:44:53
Mobil Ashade inward Akilo Road connecting Marketing is good. ,Positive,free flow,Mobil Ashade,2023-02-09,15:44:55
The return journey from Oba Ogunji inward Odo Eran is also good. ,Positive,free flow,Oba Ogunji,2023-02-09,15:46:22
The return journey from Oba Ogunji inward Odo Eran is also good. ,Positive,free flow,Odo Eran,2023-02-09,15:46:22
Vehicular movement from Idiroko through the service lane inw Maryland intersection is busy due to traffic light delay. ,Positive,heavy traffic,Idiroko,2023-02-09,16:34:29
Slow movement approaching Omole Gate due to high influx in and out Omole Estate.,Negative,heavy traffic,Omole Estate.,2023-02-10,06:59:05
"A truck has broken down with spring related problem at Kola, inwards Alakuko.",Negative,breakdown,Kola,2023-02-10,07:24:50
Obalende Ubridge is busy due to early morning rush coupled with commercial activities,Positive,heavy traffic,Obalende Ubridge,2023-02-09,07:59:52
A broken down loaded Tanker on McWen bridge inward Bonny Camp with effect on traffic movement for now.,Negative,breakdown,McWen bridge,2023-02-09,09:43:16
A broken down loaded Tanker on McWen bridge inward Bonny Camp with effect on traffic movement for now.,Negative,breakdown,Bonny Camp,2023-02-09,09:43:16
A broken down Truck at Orile on the service lane inward Mile2 with no effect on traffic movement. ,Negative,breakdown,Orile,2023-02-09,10:04:03
The earlier reported broken down loaded Tanker on McWen Bridge inw Bonny Camp has been moved off the road.,Negative,breakdown,McWen Bridge,2023-02-09,10:06:34
The earlier reported broken down loaded Tanker on McWen Bridge inw Bonny Camp has been moved off the road.,Negative,breakdown,Bonny Camp,2023-02-09,10:06:34
Return journey from Odoeran back to Omole is good aside alternation.,Positive,free flow,Odoeran,2023-02-09,12:21:39
Slight delays approaching Hotel b/stop due to fuel queue at NNPC Filling station.,Negative,mild traffic,NNPC Filling station.,2023-02-09,12:21:39
"It is also good ascending 3MB through Adeniji,  Olowu, Simpson bridge, Obalende bridge inw Onikan bridge down to CMS bridge is good.",Positive,free flow,Adeniji,2023-02-09,14:07:39
"It is also good ascending 3MB through Adeniji,  Olowu, Simpson bridge, Obalende bridge inw Onikan bridge down to CMS bridge is good.",Positive,free flow,Simpson bridge,2023-02-09,14:07:39
"It is also good ascending 3MB through Adeniji,  Olowu, Simpson bridge, Obalende bridge inw Onikan bridge down to CMS bridge is good.",Positive,free flow,Obalende bridge,2023-02-09,14:07:39
The stretch of Osolo Way from Aiye to Mechanic village link bridge is good.,Positive,free flow,Osolo Way,2023-02-09,14:46:38
Seriki Abass to Asa Afariogun intersection where alternations is on is good.,Positive,free flow,Seriki Abass,2023-02-09,14:46:38
Robinson Gbagi down to Ajibade Babatola is slow down to navigate Canoe proper.,Negative,heavy traffic,Robinson Gbagi,2023-02-09,14:46:41
Mubostic inward Canoe to Chivita to link Lukman Atobajeun down to Swimming pool junction is slow.,Negative,heavy traffic,Mubostic,2023-02-09,14:46:41
Mubostic inward Canoe to Chivita to link Lukman Atobajeun down to Swimming pool junction is slow.,Negative,heavy traffic,Canoe,2023-02-09,14:46:41
Mubostic inward Canoe to Chivita to link Lukman Atobajeun down to Swimming pool junction is slow.,Negative,heavy traffic,Chivita,2023-02-09,14:46:41
"Meanwhile movement from Airport bus stop inward National, Ikeja Along towards Ajayi Farm is also busy.",Positive,heavy traffic,Airport,2023-02-09,14:46:41
"Meanwhile movement from Airport bus stop inward National, Ikeja Along towards Ajayi Farm is also busy.",Positive,heavy traffic,National,2023-02-09,14:46:41
"Meanwhile movement from Airport bus stop inward National, Ikeja Along towards Ajayi Farm is also busy.",Positive,heavy traffic,Ikeja,2023-02-09,14:46:41
Ajayi Farm inward Ile Zik enroute Mangoro and Cement is good towards Dopemu under bridge.,Positive,free flow,Ajayi Farm,2023-02-09,15:35:00
Ajayi Farm inward Ile Zik enroute Mangoro and Cement is good towards Dopemu under bridge.,Positive,free flow,Ile Zik,2023-02-09,15:35:00
"Good movement from NITEL inward Total for now, return journey from Total to Abattoir is good.",Positive,free flow,NITEL,2023-02-09,15:44:51
Movement inw Ishaga r'abt from Fagba intersection is good to Balogun bstop,Positive,free flow,Ishaga,2023-02-09,17:32:06
Movement inw Ishaga r'abt from Fagba intersection is good to Balogun bstop,Positive,free flow,Fagba intersection,2023-02-09,17:32:06
Busy movement from Otedola inward Kara due to road demarcation at Kara- Opic corridor by Julius berger constructions.,Negative,heavy traffic,Otedola,2023-02-09,17:37:35
Busy movement from Otedola inward Kara due to road demarcation at Kara- Opic corridor by Julius berger constructions.,Negative,heavy traffic,Kara,2023-02-09,17:37:35
Busy movement from Otedola inward Kara due to road demarcation at Kara- Opic corridor by Julius berger constructions.,Negative,heavy traffic,Kara- Opic,2023-02-09,17:37:35
DHL to 5 star enroute Aswani Road by Emzor to connect Osolo Way by Aswani junction is good.,Positive,free flow,DHL,2023-02-09,14:46:40
DHL to 5 star enroute Aswani Road by Emzor to connect Osolo Way by Aswani junction is good.,Positive,free flow,Osolo Way,2023-02-09,14:46:40
DHL to 5 star enroute Aswani Road by Emzor to connect Osolo Way by Aswani junction is good.,Positive,free flow,Aswani junction,2023-02-09,14:46:40
Robinson Gbagi down to Ajibade Babatola is slow down to navigate Canoe proper.,Negative,heavy traffic,Robinson Gbagi,2023-02-09,14:46:41
Mobil Ashade inward Akilo Road connecting Marketing is good.,Positive,free flow,Mobil Ashade,2023-02-09,15:44:55
Vehicular movement from Iyana School to Kosofe down to Mile 12 is good. ,Positive,free flow,Iyana School,2023-02-09,16:38:03
Vehicular movement from Iyana School to Kosofe down to Mile 12 is good. ,Positive,free flow,Kosofe,2023-02-09,16:38:03
Moving inward Omole gate is slightly slow. Approaching Omole junction is slow due to alternation. ,Negative,heavy traffic,Omole gate,2023-02-09,17:37:36
Area G inward Ogba proper is slow due to bstop activities and influx into Thomas Salako. ,Negative,heavy traffic,Area G,2023-02-09,17:37:37
Grammar School inward VIS is a slow moving traffic due to massive turning at VIS coupled with fuel queue at NNPC.,Negative,heavy traffic,Grammar School,2023-02-09,17:38:05
Grammar School inward VIS is a slow moving traffic due to massive turning at VIS coupled with fuel queue at NNPC.,Negative,heavy traffic,VIS,2023-02-09,17:38:05
Grammar School inward VIS is a slow moving traffic due to massive turning at VIS coupled with fuel queue at NNPC.,Negative,heavy traffic,NNPC,2023-02-09,17:38:05
Movement inward Ikeja Along and Ajayi Farm is also very busy due to commercial buses activities coupled with the narrowed path at Ajayi Farm.,Positive,heavy traffic,Ikeja,2023-02-09,18:06:49
Movement inward Ikeja Along and Ajayi Farm is also very busy due to commercial buses activities coupled with the narrowed path at Ajayi Farm.,Positive,heavy traffic,Ajayi Farm.,2023-02-09,18:06:49
Movement inward Pako/Chemist is also busy due to evening rush.,Negative,heavy traffic,Pako/Chemist,2023-02-09,18:09:45
"Vehicular movement from Oke Afa, Pako, Kogberegbe, Ishaga, College, Aye, Limca inward Laspotech down to Daleko is busy for now due to evening rush.",Negative,heavy traffic,Oke Afa,2023-02-09,18:09:45
"Vehicular movement from Oke Afa, Pako, Kogberegbe, Ishaga, College, Aye, Limca inward Laspotech down to Daleko is busy for now due to evening rush.",Negative,heavy traffic,Pako,2023-02-09,18:09:45
"Vehicular movement from Oke Afa, Pako, Kogberegbe, Ishaga, College, Aye, Limca inward Laspotech down to Daleko is busy for now due to evening rush.",Negative,heavy traffic,Kogberegbe,2023-02-09,18:09:45
"Vehicular movement from Oke Afa, Pako, Kogberegbe, Ishaga, College, Aye, Limca inward Laspotech down to Daleko is busy for now due to evening rush.",Negative,heavy traffic,Ishaga,2023-02-09,18:09:45
"A truck has broken down with spring related problem at Kola, inwards Alakuko.",Negative,breakdown,Kola,2023-02-10,07:24:50
Report of a lone accident involving a Toyota Hilux at obalende bridge inward ilubirin with no casualty involved.,Neutral,accident,obalende bridge,2023-02-10,08:36:05
Movement from sabo roundabout to connect Itamaga both inward and outward are good to go.,Positive,free flow,sabo roundabout,2023-02-10,08:08:40
Report of a lone accident involving a Toyota Hilux at obalende bridge inward ilubirin with no casualty involved. ,Neutral,accident,obalende bridge,2023-02-10,08:36:05
Slow movement descending Third Mainland Bridge toward Flag Staff House now due,Negative,heavy traffic,Third Mainland Bridge,2023-02-10,08:36:05
